intent,precision,recall,f1,support
app_software,0.262,1.0,0.415,55
device_performance,0.0,0.0,0.0,38
battery_power,0.0,0.0,0.0,23
hardware_repair,0.0,0.0,0.0,19
connectivity,0.0,0.0,0.0,17
other,0.0,0.0,0.0,16
account_appleid,0.0,0.0,0.0,15
feedback_complaint,0.0,0.0,0.0,14
os_update,0.0,0.0,0.0,10
acknowledgement,0.0,0.0,0.0,3
